kind,system_name,user_name,cats_use,notes
sensor,M2S100,Block 1-1,occupancy_or_feedback,
sensor,M2S101,Block 1-2,occupancy_or_feedback,
sensor,M2S102,Block 1-3,occupancy_or_feedback,
sensor,M2S103,Block 1-4,occupancy_or_feedback,
sensor,M2S104,Block 1-5,occupancy_or_feedback,
sensor,M2S105,Block 1-6,occupancy_or_feedback,
sensor,M2S106,Block 1-7,occupancy_or_feedback,
sensor,M2S107,Block 1-8,occupancy_or_feedback,
sensor,M2S167,Switch 1-1 FB N,occupancy_or_feedback,
sensor,M2S168,Switch 1-1 FB R,occupancy_or_feedback,
sensor,M2S169,Switch 1-2 FB N,occupancy_or_feedback,
sensor,M2S170,Switch 1-2 FB R,occupancy_or_feedback,
sensor,M2S171,Switch 1-3 FB N,occupancy_or_feedback,
sensor,M2S172,Switch 1-3 FB R,occupancy_or_feedback,
sensor,M2S200,Block 2-1,occupancy_or_feedback,
sensor,M2S202,Block 2-3,occupancy_or_feedback,
sensor,M2S203,Block 2-4,occupancy_or_feedback,
sensor,M2S204,Block 2-5,occupancy_or_feedback,
sensor,M2S205,Block 2-6,occupancy_or_feedback,
sensor,M2S206,Block 2-7,occupancy_or_feedback,
sensor,M2S207,Block 2-8,occupancy_or_feedback,
sensor,M2S300,Block 3-1,occupancy_or_feedback,
sensor,M2S301,Block 3-2,occupancy_or_feedback,
sensor,M2S302,Block 3-3,occupancy_or_feedback,
sensor,M2S304,Block 3-5,occupancy_or_feedback,
sensor,M2S306,Block 3-7,occupancy_or_feedback,
sensor,M2S367,Switch 3-1 FB N,occupancy_or_feedback,
sensor,M2S368,Switch 3-1 FB R,occupancy_or_feedback,
sensor,M2S369,Switch 3-2 FB N,occupancy_or_feedback,
sensor,M2S370,Switch 3-2 FB R,occupancy_or_feedback,
sensor,M2S371,Switch 3-3 FB N,occupancy_or_feedback,
sensor,M2S372,Switch 3-3 FB R,occupancy_or_feedback,
sensor,M2S373,Switch 3-4 FB N,occupancy_or_feedback,
sensor,M2S374,Switch 3-4 FB R,occupancy_or_feedback,
sensor,M2S400,Block 4-1,occupancy_or_feedback,
sensor,M2S401,Block 4-2,occupancy_or_feedback,
sensor,M2S402,Block 4-3,occupancy_or_feedback,
sensor,M2S403,Block 4-4,occupancy_or_feedback,
sensor,M2S404,Block 4-5,occupancy_or_feedback,
sensor,M2S405,Block 4-6,occupancy_or_feedback,
sensor,M2S406,Block 4-7,occupancy_or_feedback,
sensor,M2S407,Block 4-8,occupancy_or_feedback,
sensor,M2S470,Switch 4-1 FB N,occupancy_or_feedback,
sensor,M2S471,Switch 4-1 FB R,occupancy_or_feedback,
sensor,M2S472,Switch 4-2 FB N,occupancy_or_feedback,
sensor,M2S473,Switch 4-2 FB R,occupancy_or_feedback,
sensor,M2S474,Switch 4-3 FB N,occupancy_or_feedback,
sensor,M2S475,Switch 4-3 FB R,occupancy_or_feedback,
sensor,M2S476,Switch 4-4 FB N,occupancy_or_feedback,
sensor,M2S477,Switch 4-4 FB R,occupancy_or_feedback,
sensor,M2S1200,Block 12-1,occupancy_or_feedback,
sensor,M2S1202,Block 12-3,occupancy_or_feedback,
sensor,M2S1203,Block 12-4,occupancy_or_feedback,
sensor,M2S1204,Block 12-5,occupancy_or_feedback,
sensor,M2S1205,Block 12-6,occupancy_or_feedback,
sensor,M2S1206,Block 12-7,occupancy_or_feedback,
sensor,M2S1207,Block 12-8,occupancy_or_feedback,
sensor,M2S1267,Switch 12-1 FB N,occupancy_or_feedback,
sensor,M2S1268,Switch 12-1 FB R,occupancy_or_feedback,
