cp,direction,protects_switch,panel_x,panel_y,edge,sigorient,proposed_mast_name,heads,phase,mqtt_node,parent_node_id,packed_ids,port_ids,mast_system_name,jmri_binding
Brick,left,Switch 3,4,3,LEFT,RIGHT,Mast 4RA,1,west-yard-sheet,4,C3,436,C3-OU3-4 C3-OU3-5 C3-OU3-6,IF$shsm:AAR-1946:SL-1-low(IH436),virtual-heads+shsm
Brick,left,Switch 3,4,4,LEFT,RIGHT,Mast 4RB,1,west-yard-sheet,4,C3,437,C3-OU3-7 C3-OU2-7 C3-OU3-8,IF$shsm:AAR-1946:SL-1-low(IH437),virtual-heads+shsm
Brick,right,Switch 1,8,3,RIGHT,LEFT,Mast 2L,1,west-yard-sheet,4,C3,438,C3-OU3-1 C3-OU3-2 C3-OU3-3,IF$shsm:AAR-1946:SL-1-low(IH438),virtual-heads+shsm
Princess,right,Switch 39,43,5,RIGHT,LEFT,Mast 40LB,1,west-yard-sheet,1,C1,132,C1-OU2-1 C1-OU2-2 C1-OU2-3,IF$shsm:AAR-1946:SL-1-low(IH132),virtual-heads+shsm
East End,left,Switch 23,28,6,LEFT,RIGHT,Mast 24RA,1,west-yard-sheet,2,C2,232,C2-OU1-1 C2-OU1-2 C2-OU1-3,IF$shsm:AAR-1946:SL-1-low(IH232),virtual-heads+shsm
East End,right,Switch 23,30,6,RIGHT,LEFT,Mast 24L,1,west-yard-sheet,2,C2,233,C2-OU1-4 C2-OU1-5 C2-OU1-6,IF$shsm:AAR-1946:SL-1-low(IH233),virtual-heads+shsm
Princess,left,Switch 35,37,6,LEFT,RIGHT,Mast 36RA,1,west-yard-sheet,1,C1,135,C1-OU2-4 C1-OU2-5 C1-OU2-6,IF$shsm:AAR-1946:SL-1-low(IH135),virtual-heads+shsm
Princess,left,Switch 39,43,6,RIGHT,LEFT,Mast 40LA,1,west-yard-sheet,1,C1,142,C1-OU3-4 C1-OU3-5 C1-OU3-6,IF$shsm:AAR-1946:SL-1-low(IH142),virtual-heads+shsm
Princess,right,,61,6,RIGHT,LEFT,Mast 2035,1,master4,11,C11,1134,C11-OU3-1 C11-OU3-3 C11-OU3-2,IF$shsm:AAR-1946:SL-1-low(IH1134),virtual-heads+shsm
Plane,right,Switch 5,9,7,RIGHT,LEFT,Mast 6LA,1,west-yard-sheet,4,C3,434,C3-OU2-4 C3-OU2-5 C3-OU2-6,IF$shsm:AAR-1946:SL-1-low(IH434),virtual-heads+shsm
Track Barn,left,Switch 7,12,7,LEFT,RIGHT,Mast 8RA,1,west-yard-sheet,13,C13,1332,C13-OU1-1 C13-OU1-2 C13-OU1-3,IF$shsm:AAR-1946:SL-1-low(IH1332),virtual-heads+shsm
Track Barn,right,Switch 7,14,7,RIGHT,LEFT,Mast 8LB,1,west-yard-sheet,13,C13,1334,C13-OU2-1 C13-OU2-2 C13-OU2-3,IF$shsm:AAR-1946:SL-1-low(IH1334),virtual-heads+shsm
East End,left,Switch 23,28,7,LEFT,RIGHT,Mast 24RB,1,west-yard-sheet,2,C2,234,C2-OU1-7 C2-OU1-8 C2-OU2-1,IF$shsm:AAR-1946:SL-1-low(IH234),virtual-heads+shsm
East End,right,Switch 33,34,7,RIGHT,LEFT,Mast 34L,1,west-yard-sheet,2,C2,235,C2-OU2-2 C2-OU2-3 C2-OU2-4,IF$shsm:AAR-1946:SL-1-low(IH235),virtual-heads+shsm
Princess,left,Switch 35,37,7,LEFT,RIGHT,Mast 36RB,1,west-yard-sheet,11,C11,1132,C11-OU2-1 C11-OU2-3 C11-OU2-2,IF$shsm:AAR-1946:SL-1-low(IH1132),virtual-heads+shsm
Princess,left,Switch 37,43,7,RIGHT,LEFT,Mast 38LA,1,west-yard-sheet,1,C1,143,C1-OU2-7 C1-OU3-7 C1-OU3-8,IF$shsm:AAR-1946:SL-1-low(IH143),virtual-heads+shsm
Princess,left,,62,6,LEFT,RIGHT,Mast 2036,1,master4,11,C11,1133,C11-OU2-4 C11-OU2-6 C11-OU2-5,IF$shsm:AAR-1946:SL-1-low(IH1133),virtual-heads+shsm
East End,bottom,Switch 31,31,7,BOTTOM,TOP,Mast 32R,1,west-yard-sheet,2,C2,236,C2-OU2-5 C2-OU2-6 C2-OU2-7,IF$shsm:AAR-1946:SL-1-low(IH236),virtual-heads+shsm
Plane,right,Switch 5,9,8,RIGHT,LEFT,Mast 6LB,1,west-yard-sheet,4,C3,432,C3-OU2-1 C3-OU2-2 C3-OU2-3,IF$shsm:AAR-1946:SL-1-low(IH432),virtual-heads+shsm
Track Barn,left,Switch 7,12,8,LEFT,RIGHT,Mast 8RB,1,west-yard-sheet,13,C13,1335,C13-OU1-4 C13-OU1-6 C13-OU1-5,IF$shsm:AAR-1946:SL-1-low(IH1335),virtual-heads+shsm
Track Barn,right,Switch 7,14,8,RIGHT,LEFT,Mast 8LA,1,west-yard-sheet,13,C13,1337,C13-OU2-4 C13-OU2-5 C13-OU2-6,IF$shsm:AAR-1946:SL-1-low(IH1337),virtual-heads+shsm
East End,left,Switch 33,33,8,LEFT,RIGHT,Mast 34R,1,west-yard-sheet,2,C2,237,C2-OU3-1 C2-OU3-2 C2-OU3-3,IF$shsm:AAR-1946:SL-1-low(IH237),virtual-heads+shsm
Princess,right,Switch 37,43,8,RIGHT,LEFT,Mast 38LB,1,west-yard-sheet,1,C1,139,C1-OU3-1 C1-OU3-2 C1-OU3-3,IF$shsm:AAR-1946:SL-1-low(IH139),virtual-heads+shsm
