port_id,parent_node_id,mqtt_node,board_location,signal_index,uid,packed,system_name,user_name,mast_user_name,disc_role,head_role,lamp_color,topic,device_type,voltage_rail,notes
C3-OU2-1,C3,4,West - Lower (Plane),0,32,432,IH432,Head 6LB T G,Mast 6LB,T,T,G,track/signalhead/432,Searchlight Signal Head,5V,LCOS Signal 0 UID 32; STOP/APPROACH/CLEAR; lamp G; was S3-6 G/Y/R
C3-OU2-2,C3,4,West - Lower (Plane),0,32,432,IH432,Head 6LB T Y,Mast 6LB,T,T,Y,track/signalhead/432,Searchlight Signal Head,5V,LCOS Signal 0 UID 32; STOP/APPROACH/CLEAR; lamp Y; was S3-6 G/Y/R
C3-OU2-3,C3,4,West - Lower (Plane),0,32,432,IH432,Head 6LB T R,Mast 6LB,T,T,R,track/signalhead/432,Searchlight Signal Head,5V,LCOS Signal 0 UID 32; STOP/APPROACH/CLEAR; lamp R; was S3-6 G/Y/R
C3-OU4-1,C3,4,West - Lower (Plane),1,33,433,IH433,Head 6LB B G,Mast 6LB,B,B,G,track/signalhead/433,Searchlight Signal Head,5V,LCOS Signal 1 UID 33; STOP/APPROACH/CLEAR; lamp G; was new OU4
C3-OU4-2,C3,4,West - Lower (Plane),1,33,433,IH433,Head 6LB B Y,Mast 6LB,B,B,Y,track/signalhead/433,Searchlight Signal Head,5V,LCOS Signal 1 UID 33; STOP/APPROACH/CLEAR; lamp Y; was new OU4
C3-OU4-3,C3,4,West - Lower (Plane),1,33,433,IH433,Head 6LB B R,Mast 6LB,B,B,R,track/signalhead/433,Searchlight Signal Head,5V,LCOS Signal 1 UID 33; STOP/APPROACH/CLEAR; lamp R; was new OU4
C3-OU2-4,C3,4,West - Lower (Plane),2,34,434,IH434,Head 6LA G,Mast 6LA,S,S,G,track/signalhead/434,Searchlight Signal Head,5V,LCOS Signal 2 UID 34; STOP/APPROACH/CLEAR; lamp G; was S3-7 G/Y/R
C3-OU2-5,C3,4,West - Lower (Plane),2,34,434,IH434,Head 6LA Y,Mast 6LA,S,S,Y,track/signalhead/434,Searchlight Signal Head,5V,LCOS Signal 2 UID 34; STOP/APPROACH/CLEAR; lamp Y; was S3-7 G/Y/R
C3-OU2-6,C3,4,West - Lower (Plane),2,34,434,IH434,Head 6LA R,Mast 6LA,S,S,R,track/signalhead/434,Searchlight Signal Head,5V,LCOS Signal 2 UID 34; STOP/APPROACH/CLEAR; lamp R; was S3-7 G/Y/R
C3-OU3-4,C3,4,West - Lower (Brick),4,36,436,IH436,Head 4RA G,Mast 4RA,S,S,G,track/signalhead/436,Searchlight Signal Head,5V,LCOS Signal 4 UID 36; STOP/APPROACH/CLEAR; lamp G; was S3-9 G/Y/R
C3-OU3-5,C3,4,West - Lower (Brick),4,36,436,IH436,Head 4RA Y,Mast 4RA,S,S,Y,track/signalhead/436,Searchlight Signal Head,5V,LCOS Signal 4 UID 36; STOP/APPROACH/CLEAR; lamp Y; was S3-9 G/Y/R
