subtree,path,kind,depth,file_count,size_bytes,consolidation_target,notes
Car Cards,.,dir,0,2478,1902263269,hart-ops (pipelines 12–15),subtree root
Car Cards,CarImagesFinal,dir,1,84,133726969,hart-ops (pipelines 12–15),
Car Cards,Images,dir,1,87,1029102800,hart-ops (pipelines 12–15),
Car Cards,archive,dir,1,1,1116,hart-ops (pipelines 12–15),
Car Cards,archive/cleanup_trash,dir,2,4,33411,hart-ops (pipelines 12–15),
Car Cards,archive/docs,dir,2,20,5425208,hart-ops (pipelines 12–15),
Car Cards,archive/hart_seed_package,dir,2,29,455771,hart-ops (pipelines 12–15),
Car Cards,archive/samples,dir,2,7,28287274,hart-ops (pipelines 12–15),
Car Cards,archive/session_mirrors,dir,2,15,267024,hart-ops (pipelines 12–15),
Car Cards,archive/sql_migrations,dir,2,48,109824,hart-ops (pipelines 12–15),
Car Cards,archive/stale_seed,dir,2,11,244199,hart-ops (pipelines 12–15),
Car Cards,card_pipeline,dir,1,27,340287,hart-ops (pipelines 12–15),
Car Cards,card_pipeline/__pycache__,dir,2,4,171041,hart-ops (pipelines 12–15),
Car Cards,card_pipeline/assets,dir,2,9,19639337,hart-ops (pipelines 12–15),
Car Cards,card_pipeline/output,dir,2,4,365642170,hart-ops (pipelines 12–15),
Car Cards,data,dir,1,6,95462,hart-ops (pipelines 12–15),
Car Cards,docs,dir,1,20,11298466,hart-ops (pipelines 12–15),
Car Cards,operator_logos,dir,1,14,397171,hart-ops (pipelines 12–15),
Car Cards,operator_logos/downloads,dir,2,57,2641800,hart-ops (pipelines 12–15),
Car Cards,operator_logos/parties,dir,2,64,2104756,hart-ops (pipelines 12–15),
Car Cards,publications,dir,1,10,163657,hart-ops (pipelines 12–15),
Car Cards,publications/__pycache__,dir,2,5,145582,hart-ops (pipelines 12–15),
Car Cards,publications/assets,dir,2,17,5369889,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers,dir,1,13,45126,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/backups,dir,2,1,68149,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/bin,dir,2,40,208185,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/diagnostics,dir,2,47,259444,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/docs,dir,2,13,642022,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/lib,dir,2,1,3763,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/migrations,dir,2,55,116138,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/seed,dir,2,10,322894,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/session,dir,2,12,138117,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/sts,dir,2,6,16431,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/switchlists,dir,2,2,32967,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/tools,dir,2,12,110403,hart-ops (pipelines 12–15),
Car Cards,sts-docker-helpers/track_scale,dir,2,1,1394,hart-ops (pipelines 12–15),
Industries,.,dir,0,8,736656,hart-ops (pipeline 16),subtree root
Wiring Documentation,.,dir,0,274,7727331,docs/wiring bench mirror (D4),subtree root
Wiring Documentation,ARCHIVE,dir,1,52,1615196,docs/wiring bench mirror (D4),
Wiring Documentation,ASCII,dir,1,10,16082,docs/wiring bench mirror (D4),
Wiring Documentation,ASCII/ARCHIVE,dir,2,12,23361,docs/wiring bench mirror (D4),
Wiring Documentation,ASCII/PNG,dir,2,14,2296036,docs/wiring bench mirror (D4),
Wiring Documentation,python,dir,1,153,1206651,docs/wiring bench mirror (D4),
Wiring Documentation,python/venv,dir,2,1,327,docs/wiring bench mirror (D4),
Wiring Documentation,python/venv/bin,dir,3,11,175008,docs/wiring bench mirror (D4),
Wiring Documentation,python/venv/include,dir,3,0,0,docs/wiring bench mirror (D4),
Wiring Documentation,python/venv/lib,dir,3,0,0,docs/wiring bench mirror (D4),
DJ Trains,.,dir,0,14,45476270,"review — model collection, not layout SoR",subtree root
