layer,hardware,current,proposed,cp,comment,notes
turnout,M2T408,Switch 100,Switch 1,Brick,"Node: 4 Turnout: 0 | DCC: 100 | OU: 1 Ports: 1,2",historical alias; CTC Switch 1 (was 100); keep
turnout,M2T1309,Switch 118,Switch 11,,"Node: 13 Turnout: 1 | DCC: 118 | OU: 3 Ports: 3,4",historical alias; CTC Switch 11 (was 118); hand-throw; Engine House
turnout,M2T411,Switch 116,Switch 13,Engine House,"Node: 4 Turnout: 3 | DCC: 116 | OU: 1 Ports: 7,8",historical alias; CTC Switch 13 (was 116); hand-throw
turnout,M2T308,Switch 103,Switch 15,South Yard,"Node: 3 Turnout: 0 | DCC: 103 | OU: 1 Ports: 1,2",historical alias; CTC Switch 15 (was 103); keep; east of Barn
turnout,M2T309,Switch 104,Switch 17,South Yard,"Node: 3 Turnout: 1 | DCC: 104 | OU: 1 Ports: 3,4",historical alias; CTC Switch 17 (was 104); keep; hand-throw
turnout,M2T310,Switch 105,Switch 19,South Yard,"Node: 3 Turnout: 2 | DCC: 105 | OU: 1 Ports: 5,6",historical alias; CTC Switch 19 (was 105); keep; hand-throw
turnout,M2T311,Switch 106,Switch 21,South Yard,"Node: 3 Turnout: 3 | DCC: 106 | OU: 1 Ports: 7,8",historical alias; CTC Switch 21 (was 106); keep; hand-throw
turnout,M2T1212,Switch 111,Switch 23,East End,"Node: 12 Turnout: 4 | DCC: 111 | OU: 4 Ports: 1,2",historical alias; CTC Switch 23 (was 111); keep; crossover 23a/23b
turnout,M2T1208,Switch 107,Switch 25,East End,"Node: 12 Turnout: 0 | DCC: 107 | OU: 1 Ports: 1,2",historical alias; CTC Switch 25 (was 107); keep
turnout,M2T1209,Switch 108,Switch 27,East End,"Node: 12 Turnout: 1 | DCC: 108 | OU: 1 Ports: 3,4",historical alias; CTC Switch 27 (was 108); keep
turnout,M2T1210,Switch 109,Switch 29,East End,"Node: 12 Turnout: 2 | DCC: 109 | OU: 1 Ports: 5,6",historical alias; CTC Switch 29 (was 109); keep
turnout,M2T409,Switch 101,Switch 3,Brick,"Node: 4 Turnout: 1 | DCC: 101 | OU: 1 Ports: 3,4",historical alias; CTC Switch 3 (was 101); keep
turnout,M2T1211,Switch 110,Switch 31,East End,"Node: 12 Turnout: 3 | DCC: 110 | OU: 1 Ports: 7,8",historical alias; CTC Switch 31 (was 110); keep
turnout,M2T1213,Switch 112,Switch 33,East End,"Node: 12 Turnout: 5 | DCC: 112 | OU: 4 Ports: 3,4",historical alias; CTC Switch 33 (was 112); keep
turnout,M2T108,Switch 113,Switch 35,Princess,"Node: 1 Turnout: 0 | DCC: 113 | OU: 1 Ports: 1,2",historical alias; CTC Switch 35 (was 113); keep; crossover 35a/35b
turnout,M2T109,Switch 114,Switch 37,Princess,"Node: 1 Turnout: 1 | DCC: 114 | OU: 1 Ports: 3,4",historical alias; CTC Switch 37 (was 114); keep
turnout,M2T110,Switch 115,Switch 39,Princess,"Node: 1 Turnout: 2 | DCC: 115 | OU: 1 Ports: 5,6",historical alias; CTC Switch 39 (was 115); keep
turnout,M2T410,Switch 102,Switch 5,Plane,"Node: 4 Turnout: 2 | DCC: 102 | OU: 1 Ports: 5,6",historical alias; CTC Switch 5 (was 102); keep
turnout,M2T1308,Switch 117,Switch 7,Barn,"Node: 13 Turnout: 0 | DCC: 117 | OU: 3 Ports: 1,2",historical alias; CTC Switch 7 (was 117); crossover 7/7b; field still hand-throw
turnout,M2T1310,Switch 119,Switch 9,,"Node: 13 Turnout: 2 | DCC: 119 | OU: 3 Ports: 5,6",historical alias; CTC Switch 9 (was 119); hand-throw; Engine House
turnout,MTT100,DCC Switch 1,DCC Switch 1,,"Node: 4 Turnout: 0 | OU: 1 Ports: 1,2",LCC alias of Switch 1 (M2T408)
turnout,MTT100,Switch 1 alias,DCC Switch 1,,"Node: 4 Turnout: 0 | OU: 1 Ports: 1,2",historical alias; was Switch N alias
turnout,MTT101,DCC Switch 3,DCC Switch 3,,"Node: 4 Turnout: 1 | OU: 1 Ports: 3,4",LCC alias of Switch 3 (M2T409)
turnout,MTT102,DCC Switch 5,DCC Switch 5,,"Node: 4 Turnout: 2 | OU: 1 Ports: 5,6",LCC alias of Switch 5 (M2T410)
turnout,MTT103,DCC Switch 15,DCC Switch 15,,"Node: 3 Turnout: 0 | OU: 1 Ports: 1,2",LCC alias of Switch 15 (M2T308)
turnout,MTT104,DCC Switch 17,DCC Switch 17,,"Node: 3 Turnout: 1 | OU: 1 Ports: 3,4",LCC alias of Switch 17 (M2T309)
turnout,MTT105,DCC Switch 19,DCC Switch 19,,"Node: 3 Turnout: 2 | OU: 1 Ports: 5,6",LCC alias of Switch 19 (M2T310)
turnout,MTT106,DCC Switch 21,DCC Switch 21,,"Node: 3 Turnout: 3 | OU: 1 Ports: 7,8",LCC alias of Switch 21 (M2T311)
turnout,MTT107,DCC Switch 25,DCC Switch 25,,"Node: 12 Turnout: 0 | OU: 1 Ports: 1,2",LCC alias of Switch 25 (M2T1208)
turnout,MTT108,DCC Switch 27,DCC Switch 27,,"Node: 12 Turnout: 1 | OU: 1 Ports: 3,4",LCC alias of Switch 27 (M2T1209)
turnout,MTT109,DCC Switch 29,DCC Switch 29,,"Node: 12 Turnout: 2 | OU: 1 Ports: 5,6",LCC alias of Switch 29 (M2T1210)
turnout,MTT110,DCC Switch 31,DCC Switch 31,,"Node: 12 Turnout: 3 | OU: 1 Ports: 7,8",LCC alias of Switch 31 (M2T1211)
turnout,MTT111,DCC Switch 23,DCC Switch 23,,"Node: 12 Turnout: 4 | OU: 4 Ports: 1,2",LCC alias of Switch 23 (M2T1212)
turnout,MTT111,Switch 23 alias,DCC Switch 23,,"Node: 12 Turnout: 4 | OU: 4 Ports: 1,2",historical alias; was Switch N alias
turnout,MTT112,DCC Switch 33,DCC Switch 33,,"Node: 12 Turnout: 5 | OU: 4 Ports: 3,4",LCC alias of Switch 33 (M2T1213)
turnout,MTT113,DCC Switch 35,DCC Switch 35,,"Node: 1 Turnout: 0 | OU: 1 Ports: 1,2",LCC alias of Switch 35 (M2T108)
turnout,MTT113,Switch 35 alias,DCC Switch 35,,"Node: 1 Turnout: 0 | OU: 1 Ports: 1,2",historical alias; was Switch N alias
turnout,MTT114,DCC Switch 37,DCC Switch 37,,"Node: 1 Turnout: 1 | OU: 1 Ports: 3,4",LCC alias of Switch 37 (M2T109)
turnout,MTT114,Switch 37 alias,DCC Switch 37,,"Node: 1 Turnout: 1 | OU: 1 Ports: 3,4",historical alias; was Switch N alias
turnout,MTT115,DCC Switch 39,DCC Switch 39,,"Node: 1 Turnout: 2 | OU: 1 Ports: 5,6",LCC alias of Switch 39 (M2T110)
turnout,MTT115,Switch 39 alias,DCC Switch 39,,"Node: 1 Turnout: 2 | OU: 1 Ports: 5,6",historical alias; was Switch N alias
turnout,MTT116,DCC Switch 13,DCC Switch 13,,"Node: 4 Turnout: 3 | OU: 1 Ports: 7,8",LCC alias of Switch 13 (M2T411)
turnout,MTT117,DCC Switch 7,DCC Switch 7,,"Node: 13 Turnout: 0 | OU: 3 Ports: 1,2",LCC alias of Switch 7 (M2T1308)
turnout,MTT118,DCC Switch 11,DCC Switch 11,,"Node: 13 Turnout: 1 | OU: 3 Ports: 3,4",LCC alias of Switch 11 (M2T1309)
turnout,MTT119,DCC Switch 9,DCC Switch 9,,"Node: 13 Turnout: 2 | OU: 3 Ports: 5,6",LCC alias of Switch 9 (M2T1310)
block,Block 13-2,OS Switch 11,OS Switch 11,Engine House,Engine House,hand-throw
block,Block 3-1,OS Switch 13,OS Switch 13,Engine House,Engine House,hand-throw
block,Block 12-4,OS Switch 23a,OS Switch 23a,East End,East End,Crossover leg
block,Block 12-6,OS Switch 23b,OS Switch 23b,East End,East End,Crossover leg
block,Block 1-6,OS Switch 35a,OS Switch 35a,Princess,Princess,Crossover leg
block,Block 1-5,OS Switch 35b,OS Switch 35b,Princess,Princess,Crossover leg
block,Block 13-8,OS Switch 9,OS Switch 9,Engine House,Engine House,hand-throw
block,Block 13-1,Track Barn,Track Barn,Barn,Barn,Switch 7 to Switch 13
block,Block 4-6,Track Brick-Plane,Track Brick-Plane,Brick,Brick,CP limit Brick–Plane
block,Block 13-7,Track EH-1,Track EH-1,Engine House,Engine House,occupancy Block 13-7 / M2S1306
block,Block 13-6,Track EH-2,Track EH-2,Engine House,Engine House,occupancy Block 13-6 / M2S1305
block,Block 13-5,Track EH-3,Track EH-3,Engine House,Engine House,occupancy Block 13-5 / M2S1304
block,Block 2-8,Track S-R,Track S-R,South Yard,South Yard,run-through east of Switch 15
block,Block 4-8,Track Scale,Track Scale,Plane,Plane,Plane diverging to Switch 7
block,Block 4-4,Track W-1,Track W-1,Brick,Brick,West Yard plate; access Switch 3 only
block,Block 4-3,Track W-2,Track W-2,Brick,Brick,West Yard plate; access Switch 3 only
block,Block 4-2,OS 1,OS Switch 1,Brick,Brick,historical alias
block,Block 4-2,OS 100,OS Switch 1,Brick,Brick,historical alias; CP in comment
