layer,current,proposed,cp,hardware,comment,notes
turnout,Switch 1,Switch 1,Brick,M2T408,"Node: 4 Turnout: 0 | DCC: 100 | OU: 1 Ports: 1,2",
turnout,Switch 11,Switch 11,,M2T1309,"Node: 13 Turnout: 1 | DCC: 118 | OU: 3 Ports: 3,4",
turnout,Switch 13,Switch 13,Engine House,M2T411,"Node: 4 Turnout: 3 | DCC: 116 | OU: 1 Ports: 7,8",
turnout,Switch 15,Switch 15,South Yard,M2T308,"Node: 3 Turnout: 0 | DCC: 103 | OU: 1 Ports: 1,2",
turnout,Switch 17,Switch 17,South Yard,M2T309,"Node: 3 Turnout: 1 | DCC: 104 | OU: 1 Ports: 3,4",
turnout,Switch 19,Switch 19,South Yard,M2T310,"Node: 3 Turnout: 2 | DCC: 105 | OU: 1 Ports: 5,6",
turnout,Switch 21,Switch 21,South Yard,M2T311,"Node: 3 Turnout: 3 | DCC: 106 | OU: 1 Ports: 7,8",
turnout,Switch 23,Switch 23,East End,M2T1212,"Node: 12 Turnout: 4 | DCC: 111 | OU: 4 Ports: 1,2",
turnout,Switch 25,Switch 25,East End,M2T1208,"Node: 12 Turnout: 0 | DCC: 107 | OU: 1 Ports: 1,2",
turnout,Switch 27,Switch 27,East End,M2T1209,"Node: 12 Turnout: 1 | DCC: 108 | OU: 1 Ports: 3,4",
turnout,Switch 29,Switch 29,East End,M2T1210,"Node: 12 Turnout: 2 | DCC: 109 | OU: 1 Ports: 5,6",
turnout,Switch 3,Switch 3,Brick,M2T409,"Node: 4 Turnout: 1 | DCC: 101 | OU: 1 Ports: 3,4",
turnout,Switch 31,Switch 31,East End,M2T1211,"Node: 12 Turnout: 3 | DCC: 110 | OU: 1 Ports: 7,8",
turnout,Switch 33,Switch 33,East End,M2T1213,"Node: 12 Turnout: 5 | DCC: 112 | OU: 4 Ports: 3,4",
turnout,Switch 35,Switch 35,Princess,M2T108,"Node: 1 Turnout: 0 | DCC: 113 | OU: 1 Ports: 1,2",
turnout,Switch 37,Switch 37,Princess,M2T109,"Node: 1 Turnout: 1 | DCC: 114 | OU: 1 Ports: 3,4",
turnout,Switch 39,Switch 39,Princess,M2T110,"Node: 1 Turnout: 2 | DCC: 115 | OU: 1 Ports: 5,6",
turnout,Switch 5,Switch 5,Plane,M2T410,"Node: 4 Turnout: 2 | DCC: 102 | OU: 1 Ports: 5,6",
turnout,Switch 7,Switch 7,Barn,M2T1308,"Node: 13 Turnout: 0 | DCC: 117 | OU: 3 Ports: 1,2",
turnout,Switch 9,Switch 9,,M2T1310,"Node: 13 Turnout: 2 | DCC: 119 | OU: 3 Ports: 5,6",
turnout,Switch 100,Switch 1,Brick,M2T408,"Node: 4 Turnout: 0 | DCC: 100 | OU: 1 Ports: 1,2",historical alias; CTC Switch 1 (was 100); keep
