wiring_packed,wiring_system_name,wiring_mast,wiring_head_sample,live_ih,status,notes
132,IH132,Mast 36RB,Head 36RB T G,132,direct,
133,IH133,Mast 36RB,Head 36RB B G,133,direct,
135,IH135,Mast 36RA,Head 36RA T G,135,direct,
136,IH136,Mast 36RA,Head 36RA B G,136,direct,
139,IH139,Mast 38LB,Head 38LB T G,139,direct,
140,IH140,Mast 38LB,Head 38LB B G,140,direct,
143,IH143,Mast 38LA,Head 38LA G,143,direct,
232,IH232,Mast 24RA,Head 24RA T G,1232,remap,
233,IH233,Mast 24L,Head 24L T G,1234,remap,
234,IH234,Mast 24RB,Head 24RB G,1236,remap,
238,IH238,Mast 24RA,Head 24RA B G,1233,remap,
239,IH239,Mast 24L,Head 24L B G,1235,remap,
432,IH432,Mast 6LB,Head 6LB T G,432,direct,
433,IH433,Mast 6LB,Head 6LB B G,433,direct,
434,IH434,Mast 6LA,Head 6LA G,434,direct,
436,IH436,Mast 4RA,Head 4RA G,436,direct,
437,IH437,Mast 4RB,Head 4RB G,437,direct,
438,IH438,Mast 2L,Head 2L T G,438,direct,
439,IH439,Mast 2L,Head 2L B G,439,direct,
1132,IH1132,Mast 40LB,Head 40LB T G,132,remap,
1133,IH1133,Mast 2036,Head 2036 G,134,remap,
1134,IH1134,Mast 2035,Head 2035 G,141,remap,
1135,IH1135,Mast 40LB,Head 40LB B G,133,remap,
1136,IH1136,Mast 40LA,Head 40LA G,142,remap,
1232,IH1232,Mast 34L,Head 34L T G,1237,collision,
1233,IH1233,Mast 34L,Head 34L B G,1238,collision,
1234,IH1234,Mast 32R,Head 32R G,1239,collision,
1235,IH1235,Mast 34R,Head 34R T G,1240,collision,
1236,IH1236,Mast 34R,Head 34R B G,1241,collision,
1332,IH1332,Mast 8RA,Head 8RA T G,1332,direct,
1333,IH1333,Mast 8RA,Head 8RA B G,1333,direct,
1334,IH1334,Mast 8LB,Head 8LB G,1334,direct,
1335,IH1335,Mast 8RB,Head 8RB T G,1335,direct,
1336,IH1336,Mast 8RB,Head 8RB B G,1336,direct,
1337,IH1337,Mast 8LA,Head 8LA T G,1337,direct,
1338,IH1338,Mast 8LA,Head 8LA B G,1338,direct,
