blockUserName,occupancySensor
OS Barn,Block 13-1
OS Brick-Plane,Block 4-6
OS EH-1,Block 13-7
OS EH-2,Block 13-6
OS EH-3,Block 13-5
OS East Lead,Block 1-7
OS East Main Ext,Block 4-7
OS K-1,Block 1-4
OS K-2,Block 1-3
OS Main East,Block 2-3
OS Main West,Block 2-1
OS McKees Rocks,Block 1-1
OS McKeesport,Block 1-2
OS 1,Block 4-2
OS 3,Block 4-1
OS 5,Block 4-5
OS 15,Block 3-2
OS 17,Block 3-3
OS 19,Block 3-5
OS 21,Block 3-7
OS 25,Block 12-1
OS 27,Block 12-3
OS 29,Block 12-5
OS 31,Block 12-7
OS 23a,Block 12-4
OS 23b,Block 12-6
OS 33,Block 12-8
OS 35a,Block 1-6
OS 35b,Block 1-5
OS 37,Block 1-3
OS 39,Block 1-4
OS 13,Block 3-1
OS 7,Block 13-3
OS 7b,Block 13-4
OS 11,Block 13-2
OS 9,Block 13-8
OS S-R,Block 2-8
OS S-R East,Block 2-8
OS S-R West,Block 2-8
OS S-1,Block 2-7
OS S-1 East,Block 2-7
OS S-1 West,Block 2-7
OS S-2,Block 2-6
OS S-2 East,Block 2-6
OS S-2 West,Block 2-6
OS S-3,Block 2-5
OS S-3 East,Block 2-5
OS S-3 West,Block 2-5
OS S-4,Block 2-4
OS S-4 East,Block 2-4
OS S-4 West,Block 2-4
OS Scale,Block 4-8
OS W-1,Block 4-4
OS W-2,Block 4-3
OS West Main Ext,Block 1-8
