blockName,sensorUserName,mqttAddr,secsignal
OS 1,BS Switch 1,M2S401,
OS 1,BS Switch 1,M2S401,Mast 2L
OS 11,BS Switch 11,M2S1301,
OS 13,BS Switch 13,M2S300,
OS 15,BS Switch 15,M2S301,
OS 17,BS Switch 17,M2S302,
OS 19,BS Switch 19,M2S304,
OS 21,BS Switch 21,M2S306,
OS 23a,BS Switch 23a,M2S1203,
OS 23a,BS Switch 23a,M2S1203,Mast 24RA
OS 23b,BS Switch 23b,M2S1205,
OS 23b,BS Switch 23b,M2S1205,Mast 24RB
OS 25,BS Switch 25,M2S1200,
OS 27,BS Switch 27,M2S1202,
OS 29,BS Switch 29,M2S1204,
OS 3,BS Switch 3,M2S400,
OS 3,BS Switch 3,M2S400,Mast 4RA
OS 3,BS Switch 3,M2S400,Mast 4RB
OS 31,BS Switch 31,M2S1206,
OS 31,BS Switch 31,M2S1206,Mast 32R
OS 33,BS Switch 33,M2S1207,
OS 33,BS Switch 33,M2S1207,Mast 34L
OS 33,BS Switch 33,M2S1207,Mast 34R
OS 35a,BS Switch 35a,M2S105,
OS 35a,BS Switch 35a,M2S105,Mast 36RB
OS 35b,BS Switch 35b,M2S104,
OS 35b,BS Switch 35b,M2S104,Mast 36RA
OS 37,BS Switch 37 / BS K-2,M2S102,
OS 37,BS Switch 37 / BS K-2,M2S102,Mast 38LA
OS 37,BS Switch 37 / BS K-2,M2S102,Mast 38LB
OS 39,BS Switch 39 / BS K-1,M2S103,
OS 39,BS Switch 39 / BS K-1,M2S103,Mast 40LA
OS 39,BS Switch 39 / BS K-1,M2S103,Mast 40LB
OS 5,BS Switch 5,M2S404,
OS 5,BS Switch 5,M2S404,Mast 6LA
OS 5,BS Switch 5,M2S404,Mast 6LB
OS 7,BS Switch 7,M2S1302,
OS 7,BS Switch 7,M2S1302,Mast 8LB
OS 7,BS Switch 7,M2S1302,Mast 8RA
OS 7b,BS Switch 7b,M2S1303,
OS 7b,BS Switch 7b,M2S1303,Mast 8LA
OS 7b,BS Switch 7b,M2S1303,Mast 8RB
OS 9,BS Switch 9,M2S1307,
OS Barn,BS Barn,M2S1300,
OS Brick-Plane,BS Brick-Plane,M2S405,
OS EH-1,BS EH-1,M2S1306,
OS EH-2,BS EH-2,M2S1305,
OS EH-3,BS EH-3,M2S1304,
OS East Lead,BS East Lead,M2S106,
OS East Main Ext,BS East Main Ext,M2S406,
OS K-1,BS Switch 39 / BS K-1,M2S103,
OS K-2,BS Switch 37 / BS K-2,M2S102,
OS Main East,BS Main East,M2S202,
OS Main West,BS Main West,M2S200,
OS McKees Rocks,BS McKees Rocks,M2S100,
OS McKeesport,BS McKeesport,M2S101,
OS McKeesport,BS McKeesport,M2S101,Mast 2035
OS McKeesport,BS McKeesport,M2S101,Mast 2036
OS S-1,BS S-1,M2S206,
OS S-2,BS S-2,M2S205,
OS S-3,BS S-3,M2S204,
OS S-4,BS S-4,M2S203,
OS S-R,BS S-R,M2S207,
OS Scale,BS Scale,M2S407,
OS W-1,BS W-1,M2S403,
OS W-2,BS W-2,M2S402,
OS West Main Ext,BS West Main Ext,M2S107,
OS West Main Ext,BS West Main Ext,M2S107,Mast 24L
