column,direction,dest,occupancySensors
10,LEFT,100L,
10,LEFT,113RA,
10,LEFT,113RB,
10,RIGHT,113RA,
10,RIGHT,113RB,
11,RIGHT,113RB,
12,LEFT,100L,
12,LEFT,102LA,
12,LEFT,102LB,
12,LEFT,117LA,
12,RIGHT,113RB,
14,LEFT,111L,
14,LEFT,112L,
14,LEFT,120R,
14,RIGHT,114LA,
14,RIGHT,120L,
14,RIGHT,120R,
15,LEFT,112L,
15,LEFT,112L,
15,RIGHT,114LA,
15,RIGHT,114LB,
16,LEFT,111L,
16,LEFT,111L,
16,LEFT,112L,
16,LEFT,112L,
16,RIGHT,115LA,
16,RIGHT,115LB,
2,LEFT,111RA,
2,LEFT,111RA,
3,RIGHT,117RA,
3,RIGHT,117RB,
4,LEFT,111RA,
4,LEFT,111RA,
6,LEFT,102LA,
6,LEFT,102LB,
6,RIGHT,110R,
6,RIGHT,110R,
6,RIGHT,111RB,
6,RIGHT,111RB,
6,RIGHT,112R,
