layer,systemName,userName
block,IB1,OS 116 (West Yard)|Block 3-1
block,IB15,Yard T6|Block 13-1
block,IB18,OS 119 (West Yard)|Block 13-8
block,IB19,OS 118 (West Yard)|Block 13-2
block,IB20,Yard T9|Block 13-5
block,IB21,Yard T10|Block 13-6
block,IB22,Yard T11|Block 13-7
block,IB23,K-1|Block 1-4
block,IB24,K-2|Block 1-3
block,IB3,Yard T1|Block 4-8
block,IB6,OS 117b (West Yard)|Block 13-4
block,IB8,OS 117 (West Yard)|Block 13-3
block,IB:AUTO:0001,Main East|Block 2-3
block,IB:AUTO:0003,Main West|Block 2-1
block,IB:AUTO:0005,Main West Brick-Plane|Block 4-6
block,IB:AUTO:0007,Yard Track 5|Block 2-4
block,IB:AUTO:0008,Yard Track 4|Block 2-5
block,IB:AUTO:0010,McKees Rocks|Block 1-1
block,IB:AUTO:0012,Yard Track 1|Block 2-8
block,IB:AUTO:0016,Yard Track 2|Block 2-7
block,IB:AUTO:0017,East Lead|Block 1-7
block,IB:AUTO:0020,West Yard 1|Block 4-4
block,IB:AUTO:0022,West Yard 2|Block 4-3
block,IB:AUTO:0026,Yard Track 3|Block 2-6
block,IB:AUTO:0030,OS 112 (East End)|Block 12-8
block,IB:AUTO:0031,OS 102 (Plane)|Block 4-5
block,IB:AUTO:0032,OS 114 (Princess)|Block 1-3
block,IB:AUTO:0033,OS 100 (Brick)|Block 4-2
block,IB:AUTO:0034,OS 111a (East End)|Block 12-4
block,IB:AUTO:0035,OS 101 (Brick)|Block 4-1
block,IB:AUTO:0036,OS 107 (East End)|Block 12-1
block,IB:AUTO:0037,OS 108 (East End)|Block 12-3
block,IB:AUTO:0038,OS 106 (South Yard)|Block 3-7
block,IB:AUTO:0039,OS 111b (East End)|Block 12-6
block,IB:AUTO:0040,OS 115 (Princess)|Block 1-4
block,IB:AUTO:0041,OS 103 (South Yard)|Block 3-2
block,IB:AUTO:0042,OS 110 (East End)|Block 12-7
block,IB:AUTO:0043,OS 109 (East End)|Block 12-5
block,IB:AUTO:0044,OS 104 (South Yard)|Block 3-3
block,IB:AUTO:0045,OS 105 (South Yard)|Block 3-5
block,IB:AUTO:0046,OS 113a (Princess)|Block 1-6
block,IB:AUTO:0047,OS 113b (Princess)|Block 1-5
block,IB:AUTO:0048,McKeesport|Block 1-2
block,IB:AUTO:0050,West Main Ext|Block 1-8
block,IB:AUTO:0051,East Main Ext|Block 4-7
sensor,M2S100,Block 1-1
sensor,M2S101,Block 1-2
sensor,M2S102,Block 1-3
sensor,M2S103,Block 1-4
sensor,M2S104,Block 1-5
sensor,M2S105,Block 1-6
sensor,M2S106,Block 1-7
sensor,M2S107,Block 1-8
sensor,M2S1200,Block 12-1
sensor,M2S1202,Block 12-3
sensor,M2S1203,Block 12-4
sensor,M2S1204,Block 12-5
sensor,M2S1205,Block 12-6
sensor,M2S1206,Block 12-7
sensor,M2S1207,Block 12-8
sensor,M2S1267,Switch 12-1 FB N
sensor,M2S1268,Switch 12-1 FB R
sensor,M2S1269,Switch 12-2 FB N
sensor,M2S1270,Switch 12-2 FB R
sensor,M2S1271,Switch 12-3 FB N
sensor,M2S1272,Switch 12-3 FB R
sensor,M2S1273,Switch 12-4 FB N
sensor,M2S1274,Switch 12-4 FB R
sensor,M2S1275,Switch 12-5 FB N
sensor,M2S1276,Switch 12-5 FB R
sensor,M2S1277,Switch 12-6 FB N
sensor,M2S1278,Switch 12-6 FB R
sensor,M2S1300,Block 13-1
sensor,M2S1301,Block 13-2
sensor,M2S1302,Block 13-3
sensor,M2S1303,Block 13-4
sensor,M2S1304,Block 13-5
sensor,M2S1305,Block 13-6
sensor,M2S1306,Block 13-7
sensor,M2S1307,Block 13-8
sensor,M2S1367,Switch 13-1 FB N
sensor,M2S1368,Switch 13-1 FB R
sensor,M2S1369,Switch 13-2 FB N
sensor,M2S1370,Switch 13-2 FB R
sensor,M2S1371,Switch 13-3 FB N
sensor,M2S1372,Switch 13-3 FB R
sensor,M2S167,Switch 1-1 FB N
sensor,M2S168,Switch 1-1 FB R
sensor,M2S169,Switch 1-2 FB N
sensor,M2S170,Switch 1-2 FB R
sensor,M2S171,Switch 1-3 FB N
sensor,M2S172,Switch 1-3 FB R
sensor,M2S200,Block 2-1
sensor,M2S202,Block 2-3
sensor,M2S203,Block 2-4
sensor,M2S204,Block 2-5
sensor,M2S205,Block 2-6
sensor,M2S206,Block 2-7
sensor,M2S207,Block 2-8
sensor,M2S300,Block 3-1
sensor,M2S301,Block 3-2
sensor,M2S302,Block 3-3
sensor,M2S304,Block 3-5
sensor,M2S306,Block 3-7
sensor,M2S367,Switch 3-1 FB N
sensor,M2S368,Switch 3-1 FB R
sensor,M2S369,Switch 3-2 FB N
sensor,M2S370,Switch 3-2 FB R
sensor,M2S371,Switch 3-3 FB N
sensor,M2S372,Switch 3-3 FB R
sensor,M2S373,Switch 3-4 FB N
sensor,M2S374,Switch 3-4 FB R
sensor,M2S400,Block 4-1
sensor,M2S401,Block 4-2
sensor,M2S402,Block 4-3
sensor,M2S403,Block 4-4
sensor,M2S404,Block 4-5
sensor,M2S405,Block 4-6
