kind,ident,slot,mast
point,A12,east,Mast 26R
point,A15,west,Mast 26L
point,A36,east,Mast 20R
point,A37,east,Mast 32L
point,A39,east,Mast 22R
point,A41,west,Mast 22L
point,A46,west,Mast 20L
point,A48,east,Mast 2036
point,A48,west,Mast 2035
point,A53,west,Mast 18L
point,A61,east,Mast 18R
point,A81,west,Mast 16L
point,EB1,west,Mast 12L
point,EB2,west,Mast 10LA
point,EB3,west,Mast 10LB
point,EB70,west,Mast 4LA
point,EB71,east,Mast 40RA
point,EB72,east,Mast 38RA
point,EB73,west,Mast 4LB
turnout,TO111,A,Mast 24RA
turnout,TO111,B,Mast 24L
turnout,TO111,D,Mast 24RB
turnout,TO113,A,Mast 36RA
turnout,TO113,D,Mast 36RB
turnout,TO117,A,Mast 8RA
turnout,TO117,B,Mast 8LB
turnout,TO117,C,Mast 8LA
turnout,TO117,D,Mast 8RB
turnout,TOL23,A,Mast 34L
turnout,TOL23,C,Mast 34R
turnout,TOL29,B,Mast 40LA
turnout,TOL29,C,Mast 40LB
turnout,TOL3,A,Mast 2L
turnout,TOL38,B,Mast 4RA
turnout,TOL38,C,Mast 4RB
turnout,TOL42,B,Mast 6LB
turnout,TOL42,C,Mast 6LA
turnout,TOL6,C,Mast 32R
turnout,TOR36,B,Mast 38LA
turnout,TOR36,C,Mast 38LB
