layer,current,proposed,cp,hardware,notes
turnout,Switch 100,Switch 1,Brick,M2T408,CTC Switch 1 (was 100); keep
turnout,Switch 101,Switch 3,Brick,M2T409,CTC Switch 3 (was 101); keep
turnout,Switch 102,Switch 5,Plane,M2T410,CTC Switch 5 (was 102); keep
turnout,Switch 103,Switch 15,South Yard,M2T308,CTC Switch 15 (was 103); keep; east of Barn
turnout,Switch 104,Switch 17,South Yard,M2T309,CTC Switch 17 (was 104); keep; hand-throw
turnout,Switch 105,Switch 19,South Yard,M2T310,CTC Switch 19 (was 105); keep; hand-throw
turnout,Switch 106,Switch 21,South Yard,M2T311,CTC Switch 21 (was 106); keep; hand-throw
turnout,Switch 107,Switch 25,East End,M2T1208,CTC Switch 25 (was 107); keep
turnout,Switch 108,Switch 27,East End,M2T1209,CTC Switch 27 (was 108); keep
turnout,Switch 109,Switch 29,East End,M2T1210,CTC Switch 29 (was 109); keep
turnout,Switch 110,Switch 31,East End,M2T1211,CTC Switch 31 (was 110); keep
turnout,Switch 111,Switch 23,East End,M2T1212,CTC Switch 23 (was 111); keep; crossover 111a/111b
turnout,Switch 112,Switch 33,East End,M2T1213,CTC Switch 33 (was 112); keep
turnout,Switch 113,Switch 35,Princess,M2T108,CTC Switch 35 (was 113); keep; crossover 113a/113b
turnout,Switch 114,Switch 37,Princess,M2T109,CTC Switch 37 (was 114); keep
turnout,Switch 115,Switch 39,Princess,M2T110,CTC Switch 39 (was 115); keep
turnout,Switch 116,Switch 13,Engine House,M2T411,CTC Switch 13 (was 116); hand-throw
turnout,Switch 117,Switch 7,Barn,M2T1308,CTC Switch 7 (was 117); crossover 117/117b; field still hand-throw
turnout,Switch 118,Switch 11,,M2T1309,CTC Switch 11 (was 118); hand-throw; Engine House
turnout,Switch 119,Switch 9,,M2T1310,CTC Switch 9 (was 119); hand-throw; Engine House
block,Barn,OS Barn,Barn,Block 13-1,MQTT 1300; 117 to 116; was Yard T6
block,Brick-Plane,OS Brick-Plane,Brick,Block 4-6,also listed as Block 100-102
block,EH-1,OS EH-1,,Block 13-7,top house; MQTT 1306 (swapped vs plate order vs EH-3)
block,EH-2,OS EH-2,,Block 13-6,MQTT 1305
block,EH-3,OS EH-3,,Block 13-5,bottom house; MQTT 1304 (swapped vs plate order vs EH-1)
block,East Lead,OS East Lead,East End,Block 1-7,east of 110/112 toward Princess
block,East Main Ext,OS East Main Ext,Plane,Block 4-7,keep
block,K-1,OS K-1,Princess,Block 1-4,keep; same sensor as OS 115
block,K-2,OS K-2,Princess,Block 1-3,keep; same sensor as OS 114
block,Main East,OS Main East,,Block 2-3,keep
block,Main West,OS Main West,,Block 2-1,keep
block,McKees Rocks,OS McKees Rocks,Princess,Block 1-1,keep
block,McKeesport,OS McKeesport,Princess,Block 1-2,keep
block,OS 100,OS 1,Brick,Block 4-2,CP in comment
block,OS 101,OS 3,Brick,Block 4-1,CP in comment
block,OS 102,OS 5,Plane,Block 4-5,CP in comment
block,OS 103,OS 15,South Yard,Block 3-2,CP in comment; between Barn and S-R
block,OS 104,OS 17,South Yard,Block 3-3,CP in comment
block,OS 105,OS 19,South Yard,Block 3-5,CP in comment
block,OS 106,OS 21,South Yard,Block 3-7,CP in comment
block,OS 107,OS 25,East End,Block 12-1,CP in comment
block,OS 108,OS 27,East End,Block 12-3,CP in comment
block,OS 109,OS 29,East End,Block 12-5,CP in comment
block,OS 110,OS 31,East End,Block 12-7,CP in comment
block,OS 111a,OS 23a,East End,Block 12-4,CP in comment
block,OS 111b,OS 23b,East End,Block 12-6,CP in comment
block,OS 112,OS 33,East End,Block 12-8,CP in comment
block,OS 113a,OS 35a,Princess,Block 1-6,CP in comment
block,OS 113b,OS 35b,Princess,Block 1-5,CP in comment
block,OS 114,OS 37,Princess,Block 1-3,CP in comment; same circuit as K-2
block,OS 115,OS 39,Princess,Block 1-4,CP in comment; same circuit as K-1
block,OS 116,OS 13,Engine House,Block 3-1,hand-throw
block,OS 117,OS 7,Barn,Block 13-3,Barn CP crossover north/west leg
block,OS 117b,OS 7b,Barn,Block 13-4,MQTT 1303
block,OS 118,OS 11,,Block 13-2,MQTT 1301
block,OS 119,OS 9,,Block 13-8,MQTT 1307
block,S-1,OS S-R,South Yard,Block 2-8,run-through east of 103 to 110/112; plate S-R
block,S-1 East,OS S-R East,South Yard,Block 2-8,hidden S-R east throat; same occupancy as S-R (Block 2-8)
block,S-1 West,OS S-R West,South Yard,Block 2-8,hidden S-R west throat; same occupancy as S-R (Block 2-8)
block,S-2,OS S-1,South Yard,Block 2-7,plate S-1
block,S-2 East,OS S-1 East,South Yard,Block 2-7,hidden S-1 east throat; same occupancy as S-1 (Block 2-7)
block,S-2 West,OS S-1 West,South Yard,Block 2-7,hidden S-1 west throat; same occupancy as S-1 (Block 2-7)
block,S-3,OS S-2,South Yard,Block 2-6,plate S-2
block,S-3 East,OS S-2 East,South Yard,Block 2-6,hidden S-2 east throat; same occupancy as S-2 (Block 2-6)
block,S-3 West,OS S-2 West,South Yard,Block 2-6,hidden S-2 west throat; same occupancy as S-2 (Block 2-6)
block,S-4,OS S-3,South Yard,Block 2-5,plate S-3
block,S-4 East,OS S-3 East,South Yard,Block 2-5,hidden S-3 east throat; same occupancy as S-3 (Block 2-5)
block,S-4 West,OS S-3 West,South Yard,Block 2-5,hidden S-3 west throat; same occupancy as S-3 (Block 2-5)
block,S-5,OS S-4,South Yard,Block 2-4,plate S-4
block,S-5 East,OS S-4 East,South Yard,Block 2-4,hidden S-4 east throat; same occupancy as S-4 (Block 2-4)
block,S-5 West,OS S-4 West,South Yard,Block 2-4,hidden S-4 west throat; same occupancy as S-4 (Block 2-4)
block,Scale,OS Scale,Plane,Block 4-8,Plane diverging to 117; was Yard T1
block,W-1,OS W-1,Brick,Block 4-4,yard body; access Switch 101 only; plate W-1
block,W-2,OS W-2,Brick,Block 4-3,yard body; access Switch 101 only; plate W-2
block,West Main Ext,OS West Main Ext,East End,Block 1-8,keep
block,OS 100 (Brick),OS 1,Brick,Block 4-2,historical alias; CP in comment
block,OS 101 (Brick),OS 3,Brick,Block 4-1,historical alias; CP in comment
block,OS 102 (Plane),OS 5,Plane,Block 4-5,historical alias; CP in comment
block,OS 103 (South Yard),OS 15,South Yard,Block 3-2,historical alias; CP in comment; between Barn and South Yard 1
block,OS 104 (South Yard),OS 17,South Yard,Block 3-3,historical alias; CP in comment
block,OS 105 (South Yard),OS 19,South Yard,Block 3-5,historical alias; CP in comment
block,OS 106 (South Yard),OS 21,South Yard,Block 3-7,historical alias; CP in comment
block,OS 107 (East End),OS 25,East End,Block 12-1,historical alias; CP in comment
block,OS 108 (East End),OS 27,East End,Block 12-3,historical alias; CP in comment
block,OS 109 (East End),OS 29,East End,Block 12-5,historical alias; CP in comment
block,OS 110 (East End),OS 31,East End,Block 12-7,historical alias; CP in comment
block,OS 111a (East End),OS 23a,East End,Block 12-4,historical alias; CP in comment
block,OS 111b (East End),OS 23b,East End,Block 12-6,historical alias; CP in comment
block,OS 112 (East End),OS 33,East End,Block 12-8,historical alias; CP in comment
block,OS 113a (Princess),OS 35a,Princess,Block 1-6,historical alias; CP in comment
block,OS 113b (Princess),OS 35b,Princess,Block 1-5,historical alias; CP in comment
block,OS 114 (Princess),OS 37,Princess,Block 1-3,historical alias; CP in comment; same circuit as K-2
block,OS 115 (Princess),OS 39,Princess,Block 1-4,historical alias; CP in comment; same circuit as K-1
block,OS 116 (West Yard),OS 13,,Block 3-1,historical alias; hand-throw
block,OS 117 (West Yard),OS 7,Barn,Block 13-3,historical alias of OS 117
block,OS 117b (West Yard),OS 7b,Barn,Block 13-4,historical alias; MQTT 1303
block,OS 118 (West Yard),OS 11,,Block 13-2,historical alias; MQTT 1301
block,OS 119 (West Yard),OS 9,,Block 13-8,historical alias; MQTT 1307
block,Main West Brick-Plane,OS Brick-Plane,Brick,Block 4-6,historical alias; also listed as Block 100-102
block,Block 100-102,OS Brick-Plane,Brick,Block 4-6,historical alias; alias retire
block,South Yard East,OS East Lead,East End,Block 1-7,historical alias; was South Yard East; dest East Lead
block,Yard T1,OS Scale,Plane,Block 4-8,historical alias; Plane diverging to 117; was South Yard Scale
block,Yard T6,OS Barn,Barn,Block 13-1,historical alias; MQTT 1300; 117 to 116; was South Yard West
block,South Yard Scale,OS Scale,Plane,Block 4-8,historical alias; alias after Scale/West public names
block,South Yard West,OS Barn,Barn,Block 13-1,historical alias; alias after Scale/West public names
block,Yard Track 1,OS S-R,South Yard,Block 2-8,historical alias; run-through east of 103 to 110/112; plate S-R
block,Yard Track 2,OS S-1,South Yard,Block 2-7,historical alias; plate S-1
block,Yard Track 3,OS S-2,South Yard,Block 2-6,historical alias; plate S-2
block,Yard Track 4,OS S-3,South Yard,Block 2-5,historical alias; plate S-3
block,Yard Track 5,OS S-4,South Yard,Block 2-4,historical alias; plate S-4
block,South Yard 1,OS S-R,South Yard,Block 2-8,historical alias; was South Yard 1; plate S-R
block,South Yard 2,OS S-1,South Yard,Block 2-7,historical alias; was South Yard 2; plate S-1
block,South Yard 3,OS S-2,South Yard,Block 2-6,historical alias; was South Yard 3; plate S-2
block,South Yard 4,OS S-3,South Yard,Block 2-5,historical alias; was South Yard 4; plate S-3
block,South Yard 5,OS S-4,South Yard,Block 2-4,historical alias; was South Yard 5; plate S-4
block,West Yard 1,OS W-1,Brick,Block 4-4,historical alias; yard body; access Switch 101 only; plate W-1
block,West Yard 2,OS W-2,Brick,Block 4-3,historical alias; yard body; access Switch 101 only; plate W-2
block,Yard T9,OS EH-1,,Block 13-7,historical alias; MQTT 1306
block,Yard T10,OS EH-2,,Block 13-6,historical alias; MQTT 1305
block,Yard T11,OS EH-3,,Block 13-5,historical alias; MQTT 1304
block,ET-1,OS EH-3,,Block 13-5,historical alias; CATS station alias
block,ET-2,OS EH-2,,Block 13-6,historical alias; CATS station alias
block,ET-3,OS EH-1,,Block 13-7,historical alias; CATS station alias
block,Engine House 1,OS EH-1,,Block 13-7,historical alias; was Engine House 1; plate EH-1
block,Engine House 2,OS EH-2,,Block 13-6,historical alias; was Engine House 2; plate EH-2
block,Engine House 3,OS EH-3,,Block 13-5,historical alias; was Engine House 3; plate EH-3
occupancy,Block 1-1,BS McKees Rocks,Princess,M2S100,canvas BS userName; comment stays Block 1-1
occupancy,Block 1-2,BS McKeesport,Princess,M2S101,canvas BS userName; comment stays Block 1-2
occupancy,Block 1-3,BS Switch 37 / BS K-2,Princess,M2S102,canvas BS userName; comment stays Block 1-3
occupancy,Block 1-4,BS Switch 39 / BS K-1,Princess,M2S103,canvas BS userName; comment stays Block 1-4
occupancy,Block 1-5,BS Switch 35b,Princess,M2S104,canvas BS userName; comment stays Block 1-5
occupancy,Block 1-6,BS Switch 35a,Princess,M2S105,canvas BS userName; comment stays Block 1-6
occupancy,Block 1-7,BS East Lead,East End,M2S106,canvas BS userName; comment stays Block 1-7
occupancy,Block 1-8,BS West Main Ext,East End,M2S107,canvas BS userName; comment stays Block 1-8
occupancy,Block 12-1,BS Switch 25,East End,M2S1200,canvas BS userName; comment stays Block 12-1
occupancy,Block 12-3,BS Switch 27,East End,M2S1202,canvas BS userName; comment stays Block 12-3
occupancy,Block 12-4,BS Switch 23a,East End,M2S1203,canvas BS userName; comment stays Block 12-4
occupancy,Block 12-5,BS Switch 29,East End,M2S1204,canvas BS userName; comment stays Block 12-5
occupancy,Block 12-6,BS Switch 23b,East End,M2S1205,canvas BS userName; comment stays Block 12-6
occupancy,Block 12-7,BS Switch 31,East End,M2S1206,canvas BS userName; comment stays Block 12-7
occupancy,Block 12-8,BS Switch 33,East End,M2S1207,canvas BS userName; comment stays Block 12-8
occupancy,Block 13-1,BS Barn,Barn,M2S1300,canvas BS userName; comment stays Block 13-1
occupancy,Block 13-2,BS Switch 11,,M2S1301,canvas BS userName; comment stays Block 13-2
occupancy,Block 13-3,BS Switch 7,Barn,M2S1302,canvas BS userName; comment stays Block 13-3
occupancy,Block 13-4,BS Switch 7b,Barn,M2S1303,canvas BS userName; comment stays Block 13-4
occupancy,Block 13-5,BS EH-3,,M2S1304,canvas BS userName; comment stays Block 13-5
occupancy,Block 13-6,BS EH-2,,M2S1305,canvas BS userName; comment stays Block 13-6
occupancy,Block 13-7,BS EH-1,,M2S1306,canvas BS userName; comment stays Block 13-7
occupancy,Block 13-8,BS Switch 9,,M2S1307,canvas BS userName; comment stays Block 13-8
occupancy,Block 2-1,BS Main West,,M2S200,canvas BS userName; comment stays Block 2-1
occupancy,Block 2-2,BS unused,,M2S201,canvas BS userName; comment stays Block 2-2
occupancy,Block 2-3,BS Main East,,M2S202,canvas BS userName; comment stays Block 2-3
occupancy,Block 2-4,BS S-4,South Yard,M2S203,canvas BS userName; comment stays Block 2-4
occupancy,Block 2-5,BS S-3,South Yard,M2S204,canvas BS userName; comment stays Block 2-5
occupancy,Block 2-6,BS S-2,South Yard,M2S205,canvas BS userName; comment stays Block 2-6
occupancy,Block 2-7,BS S-1,South Yard,M2S206,canvas BS userName; comment stays Block 2-7
occupancy,Block 2-8,BS S-R,South Yard,M2S207,canvas BS userName; comment stays Block 2-8
occupancy,Block 3-1,BS Switch 13,Engine House,M2S300,canvas BS userName; comment stays Block 3-1
occupancy,Block 3-2,BS Switch 15,South Yard,M2S301,canvas BS userName; comment stays Block 3-2
occupancy,Block 3-3,BS Switch 17,South Yard,M2S302,canvas BS userName; comment stays Block 3-3
occupancy,Block 3-5,BS Switch 19,South Yard,M2S304,canvas BS userName; comment stays Block 3-5
occupancy,Block 3-7,BS Switch 21,South Yard,M2S306,canvas BS userName; comment stays Block 3-7
occupancy,Block 3-8,BS unused,,M2S307,canvas BS userName; comment stays Block 3-8
occupancy,Block 4-1,BS Switch 3,Brick,M2S400,canvas BS userName; comment stays Block 4-1
occupancy,Block 4-2,BS Switch 1,Brick,M2S401,canvas BS userName; comment stays Block 4-2
occupancy,Block 4-3,BS W-2,Brick,M2S402,canvas BS userName; comment stays Block 4-3
occupancy,Block 4-4,BS W-1,Brick,M2S403,canvas BS userName; comment stays Block 4-4
occupancy,Block 4-5,BS Switch 5,Plane,M2S404,canvas BS userName; comment stays Block 4-5
occupancy,Block 4-6,BS Brick-Plane,Brick,M2S405,canvas BS userName; comment stays Block 4-6
occupancy,Block 4-7,BS East Main Ext,Plane,M2S406,canvas BS userName; comment stays Block 4-7
occupancy,Block 4-8,BS Scale,Plane,M2S407,canvas BS userName; comment stays Block 4-8
mast,100L,Mast 2L,Brick,IH438 IH439,lever 4 Left
mast,101LA,Mast 4LA,Brick,virtual $1001,hidden W-1 bumper; Dispatcher Stage 1
mast,101LB,Mast 4LB,Brick,virtual $1002,hidden W-2 bumper; Dispatcher Stage 1
mast,101RA,Mast 4RA,Brick,IH436,lever 2 Right; W-1 dwarf
mast,101RB,Mast 4RB,Brick,IH437,lever 2 Right; W-2 dwarf
mast,102LA,Mast 6LA,Plane,IH434,lever 6 Left; Scale; 1-head dwarf (was 2-head; IH435 removed)
mast,102LB,Mast 6LB,Plane,IH432 IH433,lever 6 Left; main
mast,103L,Mast 16L,South Yard,virtual $1016,hidden S-R west / 103 ladder; Dispatcher Stage 1
mast,104L,Mast 18L,South Yard,virtual $1008,hidden S-1 west throat; Dispatcher Stage 1
mast,104R,Mast 18R,South Yard,virtual $1012,hidden S-1 east throat; Dispatcher Stage 1
mast,105L,Mast 20L,South Yard,virtual $1009,hidden S-2 west throat; Dispatcher Stage 1
mast,105R,Mast 20R,South Yard,virtual $1013,hidden S-2 east throat; Dispatcher Stage 1
mast,106L,Mast 22L,South Yard,virtual $1010,hidden S-3 west throat; Dispatcher Stage 1
mast,106R,Mast 22R,South Yard,virtual $1014,hidden S-3 east throat; Dispatcher Stage 1
mast,107L,Mast 26L,South Yard,virtual $1011,hidden S-4 west throat; Dispatcher Stage 1
mast,107R,Mast 26R,South Yard,virtual $1015,hidden S-4 east throat; Dispatcher Stage 1
mast,110L,Mast 32L,East End,virtual $1017,hidden S-R east / 110 ladder; Dispatcher Stage 1
mast,110R,Mast 32R,East End,IH1239,lever 20 Right; dwarf
mast,111L,Mast 24L,East End,IH1234 IH1235,lever 18 Left
mast,111RA,Mast 24RA,East End,IH1232 IH1233,lever 18 Right; Main West
mast,111RB,Mast 24RB,East End,IH1236,lever 18 Right; S-R dwarf
mast,112L,Mast 34L,East End,IH1237 IH1238,lever 24 Left
mast,112R,Mast 34R,East End,IH1240 IH1241,lever 24 Right; Main East
mast,113RA,Mast 36RA,Princess,IH135 IH136,lever 26 Right; Main West
mast,113RB,Mast 36RB,Princess,IH137 IH138,lever 26 Right; South Yard East
mast,114LA,Mast 38LA,Princess,IH143,lever 28 Left; dwarf
mast,114LB,Mast 38LB,Princess,IH139 IH140,lever 28 Left
mast,114RA,Mast 38RA,Princess,virtual $1004,hidden K-2 bumper; Dispatcher Stage 1
mast,115LA,Mast 40LA,Princess,IH142,lever 30 Left; dwarf
mast,115LB,Mast 40LB,Princess,IH132 IH133,lever 30 Left
mast,115RA,Mast 40RA,Princess,virtual $1003,hidden K-1 bumper; Dispatcher Stage 1
mast,117LA,Mast 8LA,Barn,IH1337 IH1338,lever 8 Left; main (2-head JMRI; USS lamp uses top head)
mast,117LB,Mast 8LB,Barn,IH1334,lever 8 Left; Barn dwarf
mast,117RA,Mast 8RA,Barn,IH1332 IH1333,lever 8 Right; yard (2-head JMRI; USS lamp uses top head)
mast,117RB,Mast 8RB,Barn,IH1335 IH1336,lever 8 Right; main
mast,118L,Mast 12L,,virtual $1005,hidden EH-1 bumper; Dispatcher Stage 1
mast,119LA,Mast 10LA,,virtual $1006,hidden EH-2 bumper; Dispatcher Stage 1
mast,119LB,Mast 10LB,,virtual $1007,hidden EH-3 bumper; Dispatcher Stage 1
mast,120L,Mast 2035,Princess,IH141,Princess intermediate (was 115R / 120L); field 2035; no switch
mast,120R,Mast 2036,Princess,IH134,Princess intermediate (was 114R / 120R); field 2036; no switch
mast,Brick West Yard 1,Mast 4RA,Brick,IH436,historical alias; lever 2 Right; W-1 dwarf
mast,Brick West Yard 2,Mast 4RB,Brick,IH437,historical alias; lever 2 Right; W-2 dwarf
mast,Brick East Main West,Mast 2L,Brick,IH438 IH439,historical alias; lever 4 Left
mast,Plane East OS 102,Mast 6LA,Plane,IH434,historical alias; lever 6 Left; Scale; 1-head dwarf (was 2-head)
mast,Plane East East Main Ext,Mast 6LB,Plane,IH432 IH433,historical alias; lever 6 Left; main
mast,West Yard West OS 117,Mast 8RA,Barn,IH1332 IH1333,historical alias; lever 8 Right; yard
mast,West Yard West East Main Ext,Mast 8RB,Barn,IH1335 IH1336,historical alias; lever 8 Right; main
mast,West Yard East OS 117b,Mast 8LA,Barn,IH1337 IH1338,historical alias; lever 8 Left; main
mast,West Yard East Yard T6,Mast 8LB,Barn,IH1334,historical alias; lever 8 Left; Barn dwarf
mast,East End West Main West,Mast 24RA,East End,IH1232 IH1233,historical alias; lever 18 Right; Main West
mast,East End West Yard Track 1,Mast 24RB,East End,IH1236,historical alias; lever 18 Right; South Yard 1 dwarf
mast,East End East OS 111a,Mast 24L,East End,IH1234 IH1235,historical alias; lever 18 Left
mast,East End South OS 110,Mast 32R,East End,IH1239,historical alias; lever 20 Right; dwarf
mast,East End South OS 112,Mast 34R,East End,IH1240 IH1241,historical alias; lever 24 Right; Main East
mast,East End East Lead,Mast 34L,East End,IH1237 IH1238,historical alias; lever 24 Left
mast,Princess West OS 113b,Mast 36RA,Princess,IH135 IH136,historical alias; lever 26 Right; Main West
mast,Princess West OS 113a,Mast 36RB,Princess,IH137 IH138,historical alias; lever 26 Right; South Yard East
mast,Princess East McKeesport,Mast 2036,Princess,IH134,historical alias; dwarf; field 2036 (was 120R); no switch; Princess intermediates
mast,Princess East K-2,Mast 38LA,Princess,IH143,historical alias; lever 28 Left; dwarf
mast,Princess South McKeesport,Mast 38LB,Princess,IH139 IH140,historical alias; lever 28 Left
mast,Princess East McKees Rocks,Mast 2035,Princess,IH141,historical alias; dwarf; field 2035 (was 120L); no switch; Princess intermediates
mast,Princess East K-1,Mast 40LA,Princess,IH142,historical alias; lever 30 Left; dwarf
mast,Princess North McKees Rocks,Mast 40LB,Princess,IH132 IH133,historical alias; lever 30 Left
mast,West Yard 1 buffer,Mast 4LA,Brick,virtual $1001,historical alias; hidden stub-end for Dispatcher Stage 1
mast,West Yard 2 buffer,Mast 4LB,Brick,virtual $1002,historical alias; hidden stub-end for Dispatcher Stage 1
mast,K-1 buffer,Mast 40RA,Princess,virtual $1003,historical alias; hidden stub-end for Dispatcher Stage 1
mast,K-2 buffer,Mast 38RA,Princess,virtual $1004,historical alias; hidden stub-end for Dispatcher Stage 1
mast,Engine House 1 buffer,Mast 12L,,virtual $1005,historical alias; hidden stub-end for Dispatcher Stage 1
mast,Engine House 2 buffer,Mast 10LA,,virtual $1006,historical alias; hidden stub-end for Dispatcher Stage 1
mast,Engine House 3 buffer,Mast 10LB,,virtual $1007,historical alias; hidden stub-end for Dispatcher Stage 1
mast,South Yard 2 west,Mast 18L,South Yard,virtual $1008,historical alias; hidden stub-end for Dispatcher Stage 1
mast,South Yard 3 west,Mast 20L,South Yard,virtual $1009,historical alias; hidden stub-end for Dispatcher Stage 1
mast,South Yard 4 west,Mast 22L,South Yard,virtual $1010,historical alias; hidden stub-end for Dispatcher Stage 1
mast,South Yard 5 west,Mast 26L,South Yard,virtual $1011,historical alias; hidden stub-end for Dispatcher Stage 1
head,100L Bottom,Head 2L Bottom,Brick,IH439,
head,100L Top,Head 2L Top,Brick,IH438,
head,101RA,Head 4RA,Brick,IH436,dwarf
head,101RB,Head 4RB,Brick,IH437,dwarf
head,102LA,Head 6LA,Plane,IH434,dwarf; was Top of 2-head (IH435 removed)
head,102LB Bottom,Head 6LB Bottom,Plane,IH433,
head,102LB Top,Head 6LB Top,Plane,IH432,
head,110R,Head 32R,East End,IH1239,dwarf
head,111L Bottom,Head 24L Bottom,East End,IH1235,
head,111L Top,Head 24L Top,East End,IH1234,
head,111RA Bottom,Head 24RA Bottom,East End,IH1233,
head,111RA Top,Head 24RA Top,East End,IH1232,
head,111RB,Head 24RB,East End,IH1236,dwarf
head,112L Bottom,Head 34L Bottom,East End,IH1238,
head,112L Top,Head 34L Top,East End,IH1237,
head,112R Bottom,Head 34R Bottom,East End,IH1241,
head,112R Top,Head 34R Top,East End,IH1240,
