# Entry/Exit (NX) pairs: EntrySensor	ExitSensor
# Add these manually in Layout Editor → Tools → Entry Exit → Add Pair
NX EB265	NX EB267
NX EB265	NX EB268
NX EB265	NX EB270
NX EB265	NX EB271
NX EB265	NX EB272
NX EB265	NX EB273
NX EB265	NX EB274
NX EB265	NX EB275
NX EB265	NX EB276
NX EB265	NX EB277
NX EB265	NX EB278
NX EB265	NX EB280
NX EB265	NX EB281
NX EB265	NX EB282
NX EB265	NX EB283
NX EB265	NX EB284
NX EB265	NX EB285
NX EB265	NX EB286
NX EB265	NX EB287
NX EB265	NX EB288
NX EB265	NX EB289
NX EB265	NX EB290
NX EB265	NX EB291
NX EB265	NX EB292
NX EB265	NX EB293
NX EB265	NX EB294
NX EB265	NX EB295
NX EB265	NX EB296
NX EB265	NX EB297
NX EB265	NX EB298
NX EB265	NX EB299
NX EB265	NX EB300
NX EB265	NX EB301
NX EB265	NX EB302
NX EB266	NX EB265
NX EB266	NX EB267
NX EB266	NX EB268
NX EB266	NX EB269
NX EB266	NX EB270
NX EB266	NX EB271
NX EB266	NX EB272
NX EB266	NX EB273
NX EB266	NX EB274
NX EB266	NX EB275
NX EB266	NX EB276
NX EB266	NX EB277
NX EB266	NX EB278
NX EB266	NX EB279
NX EB266	NX EB280
NX EB266	NX EB281
NX EB266	NX EB282
NX EB266	NX EB283
NX EB266	NX EB284
NX EB266	NX EB285
NX EB266	NX EB286
NX EB266	NX EB287
NX EB266	NX EB288
NX EB266	NX EB289
NX EB266	NX EB290
NX EB266	NX EB291
NX EB266	NX EB293
NX EB266	NX EB294
NX EB266	NX EB295
NX EB266	NX EB296
NX EB266	NX EB297
NX EB266	NX EB298
NX EB266	NX EB299
NX EB266	NX EB300
NX EB266	NX EB301
NX EB266	NX EB302
NX EB267	NX EB268
NX EB267	NX EB270
NX EB267	NX EB274
NX EB267	NX EB277
NX EB267	NX EB278
NX EB267	NX EB279
NX EB267	NX EB280
NX EB267	NX EB281
NX EB267	NX EB282
NX EB267	NX EB283
NX EB267	NX EB284
NX EB267	NX EB285
NX EB267	NX EB286
NX EB267	NX EB287
NX EB267	NX EB288
NX EB267	NX EB289
NX EB267	NX EB290
NX EB267	NX EB291
NX EB267	NX EB292
NX EB267	NX EB293
NX EB267	NX EB294
NX EB267	NX EB295
NX EB267	NX EB296
NX EB267	NX EB297
NX EB267	NX EB298
NX EB267	NX EB299
NX EB267	NX EB300
NX EB267	NX EB302
NX EB268	NX EB270
NX EB268	NX EB274
NX EB268	NX EB277
NX EB268	NX EB278
NX EB268	NX EB279
NX EB268	NX EB280
NX EB268	NX EB281
NX EB268	NX EB282
NX EB268	NX EB283
NX EB268	NX EB284
NX EB268	NX EB285
NX EB268	NX EB286
NX EB268	NX EB287
NX EB268	NX EB288
NX EB268	NX EB289
NX EB268	NX EB290
NX EB268	NX EB291
NX EB268	NX EB292
NX EB268	NX EB293
NX EB268	NX EB294
NX EB268	NX EB295
NX EB268	NX EB296
NX EB268	NX EB297
NX EB268	NX EB298
NX EB268	NX EB299
NX EB268	NX EB300
NX EB268	NX EB301
NX EB268	NX EB302
NX EB269	NX EB265
NX EB269	NX EB267
NX EB269	NX EB268
NX EB269	NX EB270
NX EB269	NX EB271
NX EB269	NX EB272
NX EB269	NX EB273
NX EB269	NX EB274
NX EB269	NX EB275
NX EB269	NX EB276
NX EB269	NX EB277
NX EB269	NX EB278
NX EB269	NX EB279
NX EB269	NX EB280
NX EB269	NX EB281
NX EB269	NX EB282
NX EB269	NX EB283
NX EB269	NX EB284
NX EB269	NX EB285
NX EB269	NX EB286
NX EB269	NX EB287
NX EB269	NX EB288
NX EB269	NX EB289
NX EB269	NX EB290
NX EB269	NX EB291
NX EB269	NX EB292
NX EB269	NX EB293
NX EB269	NX EB294
NX EB269	NX EB295
NX EB269	NX EB296
NX EB269	NX EB297
NX EB269	NX EB298
NX EB269	NX EB299
NX EB269	NX EB300
NX EB269	NX EB301
NX EB269	NX EB302
NX EB270	NX EB274
NX EB270	NX EB277
NX EB270	NX EB278
NX EB270	NX EB279
NX EB270	NX EB280
NX EB270	NX EB281
NX EB270	NX EB282
